Date,Open,High,Low,Close,Volume
2025-01-30,47.86000061035156,48.180999755859375,45.02000045776367,45.18000030517578,51200.0
2025-01-31,47.630001068115234,49.060001373291016,47.0,47.68000030517578,35200.0
2025-02-03,49.0099983215332,49.70000076293945,44.09000015258789,46.59999847412109,30700.0
2025-02-04,48.68999862670898,49.75,47.290000915527344,49.060001373291016,34500.0
2025-02-05,54.93000030517578,55.31999969482422,48.26499938964844,49.41999816894531,51200.0
2025-02-06,59.34999847412109,59.79999923706055,55.0,55.0,99200.0
2025-02-07,52.41999816894531,60.0,52.40999984741211,60.0,56100.0
2025-02-10,57.25,59.2400016784668,52.51599884033203,53.33000183105469,62900.0
2025-02-11,58.79999923706055,59.91999816894531,53.0,57.150001525878906,33000.0
2025-02-12,58.29999923706055,59.0,56.90999984741211,57.0099983215332,13800.0
2025-02-13,67.36000061035156,67.62999725341797,58.2400016784668,58.4900016784668,64300.0
2025-02-14,66.05999755859375,69.44999694824219,66.0199966430664,67.80000305175781,36800.0
2025-02-18,65.9800033569336,67.52999877929688,60.667999267578125,67.52999877929688,53400.0
2025-02-19,64.77999877929688,67.67400360107422,64.77999877929688,65.80000305175781,43300.0
2025-02-20,61.650001525878906,65.29000091552734,60.75,65.29000091552734,48000.0
2025-02-21,57.59999847412109,61.56999969482422,56.27000045776367,61.56999969482422,40100.0
2025-02-24,57.79999923706055,58.630001068115234,56.0,58.540000915527344,37700.0
2025-02-25,55.720001220703125,59.22999954223633,52.52099990844727,56.119998931884766,61100.0
2025-02-26,55.70000076293945,57.4900016784668,54.29999923706055,57.0,24700.0
2025-02-27,54.04999923706055,57.0,53.5099983215332,57.0,40500.0
2025-02-28,54.900001525878906,55.20000076293945,50.0,52.34000015258789,46600.0
2025-03-03,51.68999862670898,55.90999984741211,50.0,55.90999984741211,36100.0
2025-03-04,44.36000061035156,50.0099983215332,42.92900085449219,49.900001525878906,120500.0
2025-03-05,48.65999984741211,49.09999847412109,43.709999084472656,43.709999084472656,45700.0
2025-03-06,46.5,52.0,45.5,49.91999816894531,48200.0
2025-03-07,44.65999984741211,47.29999923706055,42.0,46.66999816894531,55400.0
2025-03-10,41.150001525878906,44.59999847412109,40.66999816894531,43.0099983215332,48800.0
2025-03-11,45.84999847412109,46.47999954223633,41.209999084472656,41.209999084472656,44800.0
2025-03-12,46.18000030517578,49.060001373291016,44.45000076293945,47.91999816894531,38300.0
2025-03-13,45.68000030517578,49.47999954223633,43.810001373291016,48.25,29600.0
2025-03-14,52.40999984741211,53.27999877929688,46.0,46.0,42400.0
2025-03-17,55.02000045776367,58.91999816894531,51.84999847412109,51.84999847412109,45700.0
2025-03-18,55.900001525878906,56.0,52.209999084472656,54.560001373291016,36300.0
2025-03-19,51.75,55.880001068115234,51.5,55.310001373291016,30500.0
2025-03-20,53.16999816894531,53.55799865722656,50.2599983215332,50.91999816894531,21000.0
2025-03-21,58.16999816894531,58.27999877929688,52.0,52.06999969482422,41900.0
2025-03-24,59.5,59.5,56.94499969482422,58.59999847412109,37100.0
2025-03-25,61.869998931884766,63.83000183105469,59.36000061035156,59.36000061035156,37900.0
2025-03-26,56.33000183105469,62.75,55.0,62.22999954223633,59100.0
2025-03-27,55.63999938964844,58.70000076293945,54.380001068115234,55.2599983215332,32600.0
2025-03-28,51.68000030517578,54.65999984741211,50.06999969482422,53.18000030517578,36900.0
2025-03-31,47.02999877929688,50.65999984741211,45.880001068115234,49.900001525878906,62900.0
2025-04-01,71.4000015258789,72.98999786376953,64.5999984741211,65.0,315300.0
2025-04-02,75.05999755859375,76.88999938964844,67.8499984741211,69.88999938964844,174900.0
2025-04-03,71.66999816894531,74.0,68.5,73.87999725341797,104300.0
2025-04-04,71.37000274658203,71.59500122070312,65.5,68.55000305175781,64100.0
2025-04-07,75.38999938964844,75.63999938964844,66.08999633789062,67.54000091552734,81200.0
2025-04-08,84.94000244140625,84.94000244140625,78.0,79.16000366210938,158300.0
2025-04-09,103.79000091552734,104.9499969482422,87.80000305175781,87.80000305175781,279300.0
2025-04-10,114.75,118.37999725341795,104.70999908447266,105.98999786376952,193400.0
2025-04-11,132.02999877929688,134.53199768066406,110.0,115.5199966430664,245000.0
2025-04-14,129.6699981689453,137.31500244140625,113.7750015258789,136.22500610351562,212300.0
2025-04-15,138.97000122070312,142.5800018310547,120.94000244140624,127.5999984741211,172500.0
2025-04-16,136.88999938964844,140.9499969482422,131.25,137.0,104600.0
2025-04-17,149.0,151.3000030517578,134.1020050048828,136.69000244140625,154600.0
2025-04-21,145.27000427246094,149.58999633789062,141.25,146.52999877929688,94400.0
2025-04-22,146.0,152.50999450683594,145.00999450683594,146.3800048828125,101500.0
2025-04-23,145.0399932861328,151.99000549316406,140.5,146.0,132200.0
